Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-8.896e-04,4.90813
-8.894e-04,4.915
-8.892e-04,4.91312
-8.890e-04,4.90469
-8.888e-04,4.90969
-8.886e-04,4.9025
-8.884e-04,4.9125
-8.882e-04,4.90656
-8.880e-04,4.91219
-8.878e-04,4.91031
-8.876e-04,4.91563
-8.874e-04,4.90969
-8.872e-04,4.9125
-8.870e-04,4.90594
-8.868e-04,4.915
-8.866e-04,4.90688
-8.864e-04,4.91094
-8.862e-04,4.90469
-8.860e-04,4.91094
-8.858e-04,4.9025
-8.856e-04,4.90594
-8.854e-04,4.91031
-8.852e-04,4.90469
-8.850e-04,4.90813
-8.848e-04,4.89688
-8.846e-04,4.90281
-8.844e-04,4.90719
-8.842e-04,4.89719
-8.840e-04,4.90062
-8.838e-04,4.90688
-8.836e-04,4.90562
-8.834e-04,4.9175
-8.832e-04,4.90969
-8.830e-04,4.91125
-8.828e-04,4.90937
-8.826e-04,4.91094
-8.824e-04,4.91844
-8.822e-04,4.90937
-8.820e-04,4.91875
-8.818e-04,4.91312
-8.816e-04,4.9125
-8.814e-04,4.905
-8.812e-04,4.91281
-8.810e-04,4.91219
-8.808e-04,4.90875
-8.806e-04,4.9175
-8.804e-04,4.92156
-8.802e-04,4.92063
-8.800e-04,4.92312
-8.798e-04,4.91563
-8.796e-04,4.91156
-8.794e-04,4.91063
-8.792e-04,4.91125
-8.790e-04,4.90937
-8.788e-04,4.90906
-8.786e-04,4.91063
-8.784e-04,4.90469
-8.782e-04,4.90937
-8.780e-04,4.91281
-8.778e-04,4.91875
-8.776e-04,4.90437
-8.774e-04,4.91375
-8.772e-04,4.9125
-8.770e-04,4.91875
-8.768e-04,4.91594
-8.766e-04,4.91437
-8.764e-04,4.90437
-8.762e-04,4.91156
-8.760e-04,4.9125
-8.758e-04,4.91
-8.756e-04,4.91812
-8.754e-04,4.91344
-8.752e-04,4.91063
-8.750e-04,4.915
-8.748e-04,4.91125
-8.746e-04,4.91281
-8.744e-04,4.91094
-8.742e-04,4.91437
-8.740e-04,4.91125
-8.738e-04,4.91281
-8.736e-04,4.90937
-8.734e-04,4.91312
-8.732e-04,4.90156
-8.730e-04,4.91406
-8.728e-04,4.91688
-8.726e-04,4.91
-8.724e-04,4.90594
-8.722e-04,4.9125
-8.720e-04,4.91563
-8.718e-04,4.91125
-8.716e-04,4.91188
-8.714e-04,4.91188
-8.712e-04,4.90406
-8.710e-04,4.905
-8.708e-04,4.90281
-8.706e-04,4.91437
-8.704e-04,4.91219
-8.702e-04,4.91156
-8.700e-04,4.91
-8.698e-04,4.91281
-8.696e-04,4.9125
-8.694e-04,4.90656
-8.692e-04,4.91688
-8.690e-04,4.91281
-8.688e-04,4.92094
-8.686e-04,4.91281
-8.684e-04,4.90844
-8.682e-04,4.9175
-8.680e-04,4.91219
-8.678e-04,4.90375
-8.676e-04,4.90969
-8.674e-04,4.91531
-8.672e-04,4.91375
-8.670e-04,4.9075
-8.668e-04,4.91344
-8.666e-04,4.91938
-8.664e-04,4.92312
-8.662e-04,4.91156
-8.660e-04,4.91437
-8.658e-04,4.91344
-8.656e-04,4.91031
-8.654e-04,4.91812
-8.652e-04,4.90906
-8.650e-04,4.91031
-8.648e-04,4.90719
-8.646e-04,4.90406
-8.644e-04,4.91563
-8.642e-04,4.91
-8.640e-04,4.91594
-8.638e-04,4.91281
-8.636e-04,4.91906
-8.634e-04,4.91219
-8.632e-04,4.92125
-8.630e-04,4.91281
-8.628e-04,4.91656
-8.626e-04,4.91781
-8.624e-04,4.92625
-8.622e-04,4.91812
-8.620e-04,4.91375
-8.618e-04,4.90844
-8.616e-04,4.91031
-8.614e-04,4.92
-8.612e-04,4.91406
-8.610e-04,4.91125
-8.608e-04,4.9175
-8.606e-04,4.90813
-8.604e-04,4.92031
-8.602e-04,4.91594
-8.600e-04,4.92031
-8.598e-04,4.91969
-8.596e-04,4.91563
-8.594e-04,4.91719
-8.592e-04,4.9225
-8.590e-04,4.91437
-8.588e-04,4.91063
-8.586e-04,4.91344
-8.584e-04,4.91125
-8.582e-04,4.91531
-8.580e-04,4.91094
-8.578e-04,4.90969
-8.576e-04,4.90937
-8.574e-04,4.90906
-8.572e-04,4.90875
-8.570e-04,4.91031
-8.568e-04,4.91
-8.566e-04,4.90625
-8.564e-04,4.91375
-8.562e-04,4.91688
-8.560e-04,4.905
-8.558e-04,4.91219
-8.556e-04,4.91625
-8.554e-04,4.91594
-8.552e-04,4.91063
-8.550e-04,4.90594
-8.548e-04,4.91344
-8.546e-04,4.90969
-8.544e-04,4.90844
-8.542e-04,4.90719
-8.540e-04,4.91219
-8.538e-04,4.90719
-8.536e-04,4.91969
-8.534e-04,4.91344
-8.532e-04,4.91156
-8.530e-04,4.90813
-8.528e-04,4.92219
-8.526e-04,4.9125
-8.524e-04,4.91312
-8.522e-04,4.91469
-8.520e-04,4.91375
-8.518e-04,4.91375
-8.516e-04,4.91312
-8.514e-04,4.915
-8.512e-04,4.90813
-8.510e-04,4.91406
-8.508e-04,4.91469
-8.506e-04,4.91156
-8.504e-04,4.91281
-8.502e-04,4.91219
-8.500e-04,4.91125
-8.498e-04,4.91563
